,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,labs
ERR1135431,130.61357,131.92683,128.3838,128.16345,129.04735,128.65302,128.07089,128.89867,128.67096,128.8396,128.65196,128.49672,128.54721,128.50224,128.7183,Sus_scrofa
ERR1135302,142.19305,143.82968,140.70634,139.86765,140.80185,140.38567,139.71722,140.61964,140.36234,140.6385,140.37694,140.28435,140.32852,140.2821,140.52122,Sus_scrofa
ERR1135336,195.46051,197.21101,192.13974,191.35016,192.48145,192.36621,192.64804,192.43121,192.64053,193.04753,192.46089,192.84595,192.42906,193.09358,192.7924,Sus_scrofa
ERR1135355,171.42183,171.59795,168.5615,168.53268,169.13821,168.74785,168.30624,168.92194,168.54396,169.14029,169.0057,168.46373,168.72496,168.7057,169.07845,Sus_scrofa
ERR1135357,157.61073,158.95123,155.56453,155.10722,155.89684,155.48431,154.82387,155.70491,155.4576,155.85916,155.62817,155.37904,155.5087,155.46498,155.811,Sus_scrofa
ERR1135301,156.13118,157.48416,153.98744,153.57587,154.28476,153.91855,153.32756,154.14505,153.8471,154.27824,154.03264,153.77393,153.92143,153.88942,154.21712,Sus_scrofa
ERR1135312,180.09453,180.6729,176.57416,176.93623,177.61008,177.0846,176.77309,177.22804,177.07436,177.48668,177.43402,176.78651,177.07854,176.85109,177.37228,Sus_scrofa
ERR1135445,171.74803,172.31403,168.23898,168.53554,168.97366,168.52724,168.33333,168.69461,168.84352,168.82782,168.9533,167.99313,168.316,168.58861,168.71967,Sus_scrofa
ERR1135228,135.61804,137.21866,130.71873,131.82271,133.6875,132.91106,132.02542,133.25331,131.90587,133.00383,132.25731,131.81822,132.84784,131.96846,132.39378,Sus_scrofa
ERR1135402,176.79027,176.95058,173.39284,173.67455,174.40472,173.95935,173.56042,174.09938,173.6972,174.34473,174.2583,173.49214,173.95232,173.73758,174.24638,Sus_scrofa
ERR1135227,132.2163,133.78323,127.30962,128.43703,130.29384,129.50856,128.63043,129.85313,128.48628,129.6091,128.84145,128.40782,129.44731,128.54956,128.98045,Sus_scrofa
ERR1135460,202.30649,203.28896,199.0327,199.26968,199.81679,199.63173,199.06514,199.78052,199.3101,199.7521,199.63783,199.42958,199.646,199.28706,199.66757,Sus_scrofa
ERR1135193,150.98091,151.72415,147.39053,147.46812,148.61778,148.13907,147.306,148.37119,147.72162,148.30801,147.9816,147.71205,148.06772,148.19498,148.07887,Sus_scrofa
ERR1135353,186.99812,188.72464,184.46227,183.97713,184.66661,184.3129,183.82904,184.43275,184.16483,184.83258,184.52522,184.13174,184.32979,184.98851,184.83026,Sus_scrofa
ERR1135450,164.48941,166.58086,161.30246,161.08916,162.57268,161.16678,160.46832,161.40877,161.42828,162.16237,162.04373,161.41374,161.69904,161.0261,162.23392,Sus_scrofa
ERR1135198,130.66139,131.89983,128.52556,128.25136,129.01508,128.6542,128.03809,128.9251,128.63734,128.89775,128.61957,128.49326,128.56302,128.48662,128.72261,Sus_scrofa
ERR1135183,141.99771,143.56941,139.78194,139.16685,140.23112,139.85892,139.06602,140.11118,139.71024,140.02078,139.73265,139.5891,139.81696,139.57848,139.88165,Sus_scrofa
ERR1135418,166.75648,168.77484,163.49481,163.31995,164.78784,163.41069,162.71776,163.65181,163.66364,164.37776,164.27184,163.62651,163.92978,163.2618,164.44676,Sus_scrofa
ERR1135257,187.3941,189.014,184.8105,184.35535,185.0066,184.58232,184.17534,184.76347,184.37427,185.03867,184.86137,184.4761,184.64247,185.23941,185.1714,Sus_scrofa
ERR1135224,122.935875,124.49918,118.19387,119.25113,121.05404,120.29061,119.445145,120.62427,119.3398,120.38534,119.6649,119.24192,120.223915,119.37817,119.79322,Sus_scrofa
ERR1135274,155.77536,157.13287,153.89792,153.2864,154.09943,153.6292,153.00302,153.84122,153.70729,154.05678,153.83607,153.63005,153.67177,153.67268,154.01776,Sus_scrofa
ERR1135190,166.3191,167.01613,163.07414,163.17241,163.90118,163.4011,162.92212,163.57391,163.3076,163.8124,163.70796,163.12262,163.41704,163.24765,163.73012,Sus_scrofa
ERR1135335,180.06418,180.64029,176.54315,176.90594,177.57959,177.05426,176.74275,177.1977,177.04382,177.45605,177.40338,176.75616,177.04831,176.81995,177.34149,Sus_scrofa
ERR1135330,187.33418,189.11482,184.74753,184.29642,184.97653,184.55974,184.15015,184.74075,184.4841,185.16455,184.83038,184.41216,184.6092,185.36736,185.18439,Sus_scrofa
ERR1135292,149.60667,150.1615,145.93436,146.1551,147.26071,146.7949,145.96896,147.02707,146.37077,146.9456,146.6409,146.36519,146.72281,146.84616,146.72528,Sus_scrofa
ERR1135192,174.41113,174.70851,170.89107,171.26958,171.93044,171.48097,171.11801,171.61575,171.3463,171.81909,171.75047,171.1448,171.48782,171.18854,171.71559,Sus_scrofa
SRR1175007,160.4431,163.44366,163.84984,163.48264,162.8007,166.00467,164.74063,165.71051,166.17076,165.41774,165.57504,164.71617,166.24352,165.96024,164.07764,Homo_sapiens
SRR042182,200.44229,203.9297,204.2595,204.3976,204.11412,205.09055,204.63486,204.76193,204.613,204.70895,205.44946,204.80675,204.62985,204.7128,204.68279,Homo_sapiens
SRR061154,136.74678,139.8619,139.26962,140.38548,139.96089,140.69345,140.95264,141.18779,140.8986,140.81683,141.20685,140.96921,141.26535,140.8761,140.77669,Homo_sapiens
SRR061499,180.78465,184.59912,185.22179,184.59067,184.79466,185.214,185.20235,184.94936,185.1708,185.25095,185.93019,185.3675,184.7946,185.28899,184.98782,Homo_sapiens
SRR063469,140.26599,143.52753,144.8765,144.07997,143.66103,144.18527,143.81912,143.76822,143.88039,143.93256,144.52766,144.06393,143.76553,144.06505,143.8408,Homo_sapiens
SRR062324,160.45166,163.32458,163.85887,163.52419,162.82362,165.8978,164.74922,165.61816,166.10773,165.31139,165.48665,164.57266,166.18394,165.89236,164.12032,Homo_sapiens
SRR1179037,160.50029,163.51157,163.83803,163.55753,162.9079,166.08545,164.72961,165.67314,166.14227,165.55186,165.5404,164.76027,166.21602,165.9283,164.12105,Homo_sapiens
SRR061236,160.5491,163.49817,163.90909,163.50194,162.83437,166.04861,164.79514,165.76202,166.23288,165.43285,165.62427,164.77722,166.30627,166.01852,164.11937,Homo_sapiens
SRR061456,160.60915,163.59828,163.89584,163.64346,162.99301,166.15701,164.78725,165.77278,166.23558,165.55917,165.64009,164.8566,166.30804,166.02278,164.18953,Homo_sapiens
SRR642021,90.68588,93.16461,93.285446,93.20472,92.9104,91.79421,93.48385,93.44847,93.27482,93.28053,93.7103,93.3869,92.95318,93.31553,93.32179,Homo_sapiens
SRR1175013,156.36034,159.93822,160.97879,160.57059,159.96227,161.21509,160.69739,160.77866,160.7473,160.81148,161.3776,160.89772,160.77527,160.88144,160.64368,Homo_sapiens
SRR062457,159.83089,163.23996,163.77315,163.69833,162.94829,164.86218,164.21759,164.37746,164.45432,164.32349,164.78548,164.29597,164.62003,164.46834,163.95781,Homo_sapiens
SRR062447,180.9564,184.76193,185.38971,184.7579,184.96327,185.38266,185.37085,185.11789,185.33945,185.41997,186.09927,185.53625,184.96402,185.45801,185.15642,Homo_sapiens
SRR1179031,158.76186,162.30678,162.93002,162.79964,162.10182,163.6624,163.0684,163.1866,163.12398,163.13997,163.72989,163.22743,163.26842,163.19446,162.94594,Homo_sapiens
SRR062375,167.17023,170.39897,170.84242,171.05855,170.24821,171.95944,171.48647,171.42068,171.53432,171.52805,171.89813,171.62807,171.64125,171.56824,171.22656,Homo_sapiens
SRR1179053,140.5666,144.08649,144.72733,144.45477,143.96082,145.37442,144.6352,144.99463,144.61221,144.66545,145.55934,144.81534,144.83594,144.7084,144.59532,Homo_sapiens
SRR1179033,143.56139,146.81348,147.64174,147.29753,146.72714,148.11176,147.44196,147.71321,147.43549,147.48343,148.28651,147.62155,147.6155,147.53143,147.39496,Homo_sapiens
SRR061140,160.49582,163.41249,163.90097,163.58412,162.88342,165.99245,164.79393,165.6643,166.15767,165.42026,165.52982,164.66707,166.23355,165.94193,164.16653,Homo_sapiens
SRR646449,83.019165,85.139465,85.9237,85.25882,84.49455,85.05106,85.53905,85.73339,85.37592,85.36774,86.05755,85.54487,85.182526,85.394516,85.30528,Homo_sapiens
SRR063471,160.55351,163.52068,163.91171,163.59146,162.91763,166.08551,164.8035,165.76605,166.22559,165.50105,165.64001,164.77798,166.29875,166.01399,164.17873,Homo_sapiens
SRR059440,158.9745,162.51726,163.13744,163.0151,162.31523,163.87149,163.28,163.39154,163.31787,163.34402,163.93967,163.43996,163.46768,163.39166,163.15492,Homo_sapiens
SRR061254,136.70912,139.82422,139.2319,140.34772,139.92307,140.65587,140.91496,141.15019,140.86098,140.77916,141.16925,140.93152,141.2277,140.83844,140.73898,Homo_sapiens
SRR059388,160.52155,163.51642,163.89151,163.56189,162.88756,166.07494,164.78394,165.75209,166.2084,165.4913,165.62634,164.77663,166.28137,165.99786,164.14836,Homo_sapiens
SRR059354,160.49792,163.4515,163.864,163.56865,162.8838,166.0287,164.75597,165.67,166.1481,165.4599,165.53738,164.70525,166.22267,165.93372,164.14355,Homo_sapiens
SRR061556,160.49751,163.49826,163.83847,163.5726,162.90225,166.07632,164.73183,165.68385,166.14857,165.51985,165.553,164.74974,166.22191,165.93556,164.13585,Homo_sapiens
SRR1179049,179.99802,183.81755,184.45615,183.78865,183.99641,184.41548,184.40619,184.15166,184.37541,184.4529,185.13206,184.56691,183.9902,184.4944,184.1904,Homo_sapiens
SRR1175001,158.8503,162.395,163.01813,162.88829,162.19025,163.75089,163.1569,163.27466,163.2061,163.22815,163.81807,163.31595,163.35611,163.28021,163.03418,Homo_sapiens
SRR062388,180.69797,184.51279,185.13448,184.50273,184.70659,185.12642,185.11444,184.86185,185.08296,185.16278,185.84285,185.2793,184.70642,185.20078,184.90016,Homo_sapiens
SRR346691,147.72754,151.19414,151.77115,151.61543,150.93652,152.56847,151.90915,152.14705,151.94409,151.96405,152.7182,152.07275,152.13298,151.99937,151.79486,Homo_sapiens
SRR1179027,180.0944,183.9135,184.54848,183.8938,184.1025,184.53304,184.51463,184.2723,184.48569,184.55548,185.25354,184.6704,184.09857,184.59595,184.30458,Homo_sapiens
SRR059395,162.05382,165.14326,165.68396,165.40361,164.68028,167.27094,166.46152,166.92589,167.25458,166.70355,167.05414,166.34225,167.36488,167.13063,165.94081,Homo_sapiens
SRR1179043,177.09135,180.91104,181.46086,180.89009,180.99382,181.53151,181.37698,181.23732,181.34152,181.45235,182.22926,181.55977,181.04518,181.50493,181.13788,Homo_sapiens
SRR1175003,143.18384,146.43605,147.26408,146.91919,146.34883,147.73347,147.06345,147.33516,147.05708,147.10527,147.90839,147.24315,147.23705,147.15312,147.01675,Homo_sapiens
SRR646438,94.576294,96.83732,97.41584,96.8841,96.16613,96.49164,97.181946,97.41412,97.02886,97.03033,97.65555,97.17991,96.79279,97.0387,96.98444,Homo_sapiens
SRR1179046,160.52965,163.51265,163.84764,163.58522,162.9144,166.08252,164.73654,165.67534,166.14984,165.52003,165.54071,164.76433,166.22397,165.93265,164.15704,Homo_sapiens
SRR642022,112.04784,114.87963,114.37778,115.17055,114.9286,113.98083,115.50907,115.61487,115.33281,115.303566,115.66468,115.41311,115.23965,115.352745,115.36315,Homo_sapiens
UNKNOWN_0,254.3959,250.74066,251.57814,254.15756,251.67055,251.76898,251.57588,251.81078,252.3591,251.71437,251.85794,252.00346,251.82845,250.67967,251.8083,unknown
UNKNOWN_1,200.19193,195.80206,196.83592,197.9438,197.33318,197.25768,197.08221,197.24605,197.16216,197.0041,197.19615,197.14455,197.2546,196.5824,197.22343,unknown
UNKNOWN_2,107.82812,102.50904,106.04301,104.26015,106.031944,105.43926,106.048325,105.26115,105.13626,104.92605,105.55101,105.70436,105.461624,105.315895,105.34473,unknown
UNKNOWN_3,163.4426,160.21555,159.37564,160.16493,160.80864,160.16298,159.8928,160.65164,159.72162,159.99376,160.61069,159.75487,160.072,160.00928,159.8866,unknown
UNKNOWN_4,168.82663,162.60568,166.12662,165.30684,166.45563,165.5162,166.62857,165.37646,165.39355,164.87378,165.74794,166.1183,165.67404,165.35257,165.41995,unknown
UNKNOWN_5,168.93463,162.87326,166.12675,165.4354,166.50047,165.63484,166.62428,165.52126,165.53885,165.04341,165.86069,166.15233,165.7938,165.50015,165.55255,unknown
UNKNOWN_6,149.54506,149.52037,146.54393,146.47665,147.39316,147.00919,146.1157,147.27061,146.72081,147.02472,146.89813,146.67682,146.97762,146.97157,146.95007,unknown
UNKNOWN_7,159.67625,156.03627,155.70094,156.70647,156.70137,156.49065,156.43828,156.61397,156.34586,156.32071,156.5073,156.31914,156.49414,155.89362,156.42104,unknown
UNKNOWN_8,162.9089,159.64832,158.65764,159.81105,160.08154,159.80936,159.51979,160.11548,159.38284,159.65985,159.89453,159.42697,159.71161,159.27678,159.52708,unknown
UNKNOWN_9,161.23631,154.42012,158.85695,157.60233,158.93486,157.90892,159.16774,157.76599,157.88072,157.2109,158.21873,158.56311,158.13988,158.18282,157.83212,unknown
UNKNOWN_10,157.05847,150.88956,154.62215,153.79881,154.73755,153.6321,154.97453,153.4834,153.39957,152.98474,153.92946,154.09874,153.8589,154.11624,153.47914,unknown
UNKNOWN_11,142.41959,136.83772,139.79544,139.41551,139.93675,139.60204,139.99147,139.49243,139.58237,139.27501,139.67111,139.79082,139.66553,139.47758,139.57188,unknown
UNKNOWN_12,166.32121,160.0149,163.2871,162.83412,163.59058,162.98793,163.76213,162.84583,162.87544,162.30386,163.21568,163.19757,163.14719,162.86017,162.91982,unknown
UNKNOWN_13,203.86586,198.77007,200.54599,201.04074,201.00359,200.82805,200.79935,200.6945,200.43321,200.40681,200.61229,200.66884,200.79279,200.26025,200.7079,unknown
UNKNOWN_14,115.60334,110.17218,113.67979,112.08344,113.68893,113.140396,113.70362,112.96776,112.85584,112.61434,113.231995,113.389824,113.15633,113.008766,113.04486,unknown
UNKNOWN_15,203.89572,198.79982,200.57574,201.07054,201.03342,200.85788,200.82924,200.7243,200.46298,200.43657,200.642,200.69875,200.82257,200.29012,200.73769,unknown
UNKNOWN_16,152.61623,146.0447,150.49667,149.08038,150.27025,149.26988,150.3567,149.17145,149.33813,148.34705,149.53012,149.8579,149.57578,149.59445,149.12285,unknown
UNKNOWN_17,260.8489,256.1698,258.24338,259.99213,258.1607,258.40488,257.7077,258.49167,259.58466,258.5511,258.4778,258.8525,258.27643,256.04486,258.48517,unknown
UNKNOWN_18,269.17697,264.38565,266.70038,267.80484,266.65414,266.77414,266.33603,266.81638,267.68674,266.8731,266.85608,267.13385,266.72354,265.15137,266.84085,unknown
UNKNOWN_19,114.0004,108.23809,111.47852,110.77045,111.62539,111.314,111.61948,111.18253,111.10408,110.80309,111.314926,111.47171,111.27844,111.1243,111.23464,unknown
UNKNOWN_20,192.39502,186.82365,189.58415,189.67723,189.97527,189.82773,189.2484,189.23837,188.598,188.62514,188.94028,189.4326,189.38904,189.30075,189.41382,unknown
UNKNOWN_21,160.84883,157.24577,156.42513,157.84763,157.8236,157.7979,157.52905,157.94598,157.39127,157.61661,157.67729,157.39076,157.71986,156.93512,157.51625,unknown
UNKNOWN_22,166.78844,160.22925,164.2156,163.13483,164.59312,163.35947,164.72311,163.25798,163.2445,162.7819,163.61618,164.2229,163.52206,163.58128,163.29343,unknown
UNKNOWN_23,191.5088,186.13547,188.2335,188.61761,188.62634,188.41255,188.48672,188.27803,188.06424,187.94868,188.23207,188.33084,188.40007,187.84978,188.29753,unknown
UNKNOWN_24,127.561584,121.19354,124.92015,124.11631,125.02769,124.71231,125.07129,124.55995,124.59407,124.18565,124.708664,124.93071,124.68046,124.44203,124.683464,unknown
UNKNOWN_25,182.09885,177.17175,179.02948,179.29051,179.3219,179.0014,179.33813,179.0201,178.44489,178.74675,178.85936,178.97958,178.96613,178.54852,178.89984,unknown
UNKNOWN_26,163.44238,160.21463,159.37355,160.1657,160.80629,160.16449,159.89366,160.65057,159.72247,159.9953,160.60852,159.75572,160.07341,160.00682,159.8882,unknown
UNKNOWN_27,155.54765,148.95563,153.27371,151.96959,153.13489,152.16441,153.23721,152.05505,152.21196,151.28342,152.42474,152.73254,152.45894,152.45888,152.03807,unknown
UNKNOWN_28,162.96785,159.69524,158.80072,159.73766,160.21559,159.79428,159.48268,160.1105,159.304,159.62578,160.02551,159.34059,159.69374,159.40462,159.52034,unknown
UNKNOWN_29,123.684616,121.594315,122.906204,122.729126,122.43641,122.24509,122.76421,122.200325,121.91854,122.063416,122.481544,122.316055,122.2487,122.207985,122.288536,unknown
UNKNOWN_30,181.74869,176.81216,178.67155,178.9333,178.9733,178.64294,178.98117,178.66248,178.09518,178.38892,178.51184,178.63013,178.61513,178.19919,178.54094,unknown
UNKNOWN_31,166.79117,160.25365,164.19966,163.15395,164.58183,163.32135,164.70424,163.19342,163.14037,162.68799,163.63795,164.20557,163.53886,163.60219,163.23006,unknown
UNKNOWN_32,190.08983,184.70934,186.83461,187.20264,187.22728,187.0149,187.06664,186.86298,186.63962,186.52287,186.8091,186.92297,186.98715,186.45284,186.88947,unknown
UNKNOWN_33,152.64046,146.07048,150.52206,149.10564,150.2952,149.2949,150.38164,149.19656,149.36327,148.37233,149.55525,149.88301,149.60068,149.6196,149.14795,unknown
UNKNOWN_34,157.12758,150.95801,154.69258,153.86795,154.80702,153.70152,155.04414,153.55269,153.46938,153.05397,153.99892,154.16856,153.92839,154.18576,153.54863,unknown
UNKNOWN_35,192.20341,186.63135,189.39374,189.48613,189.78502,189.63792,189.056,189.04688,188.40495,188.4325,188.74791,189.24158,189.1976,189.11082,189.22302,unknown
UNKNOWN_36,163.07162,159.79337,158.85931,159.8901,160.27562,159.93074,159.625,160.22821,159.45859,159.76797,160.08696,159.49666,159.83086,159.46677,159.65445,unknown
UNKNOWN_37,166.67738,160.16278,164.07301,163.15529,164.48038,163.38942,164.5778,163.29344,163.3016,162.82826,163.62192,164.10114,163.53621,163.54715,163.32921,unknown
UNKNOWN_38,182.03397,177.09807,178.95822,179.22285,179.2586,178.93011,179.26791,178.95131,178.3809,178.67915,178.79692,178.91563,178.90065,178.48447,178.82803,unknown
UNKNOWN_39,160.57013,156.96393,156.14882,157.57039,157.54385,157.51859,157.25203,157.66557,157.1146,157.33714,157.39748,157.11377,157.44156,156.65565,157.23871,unknown
UNKNOWN_40,166.80249,160.27473,164.21182,163.18883,164.58487,163.37685,164.71454,163.2547,163.22871,162.76678,163.66615,164.20921,163.57219,163.62782,163.29167,unknown
UNKNOWN_41,152.58084,151.1213,148.7908,149.64319,149.9707,149.80998,149.28372,149.99777,149.5128,149.80211,149.68385,149.44485,149.75934,149.2768,149.70525,unknown
UNKNOWN_42,166.8695,163.08957,163.0418,163.88202,163.90227,163.68848,163.60278,163.81433,163.56631,163.54446,163.7175,163.4659,163.6733,163.06926,163.63724,unknown
UNKNOWN_43,162.91132,159.65005,158.66005,159.80997,160.084,159.81042,159.52063,160.11597,159.38121,159.66086,159.89685,159.42432,159.71274,159.27907,159.52821,unknown
UNKNOWN_44,240.00847,236.38875,237.1623,239.76054,237.27243,237.37328,237.1797,237.4158,237.92688,237.30878,237.45528,237.58568,237.43408,236.31807,237.40877,unknown
UNKNOWN_45,162.85466,159.58421,158.61557,159.73122,160.03241,159.74477,159.44899,160.03491,159.30363,159.5909,159.84506,159.3469,159.64633,159.22585,159.46494,unknown
UNKNOWN_46,179.4516,173.181,176.72412,176.05411,176.8834,176.0962,176.99582,175.95963,175.9886,175.50453,176.30121,176.49158,176.28488,176.16255,176.02322,unknown
UNKNOWN_47,175.95415,170.20224,172.87944,172.74968,173.19763,172.70555,173.22578,172.60684,172.5654,172.21223,172.7661,172.88461,172.80592,172.41533,172.62842,unknown
UNKNOWN_48,170.13098,163.76488,167.5243,166.58806,167.81445,166.80792,168.02751,166.65489,166.66653,166.13597,167.04813,167.48001,166.96936,166.65576,166.70433,unknown
UNKNOWN_49,196.06763,190.78474,192.78885,193.1745,193.21039,193.01753,193.02707,192.86806,192.5902,192.57425,192.79681,192.86014,192.98718,192.46674,192.89189,unknown
UNKNOWN_50,162.93689,159.65399,158.74945,159.72667,160.16028,159.77567,159.4633,160.07298,159.29532,159.60796,159.97086,159.3337,159.67493,159.34927,159.50171,unknown
UNKNOWN_51,162.9917,159.70863,158.7476,159.85013,160.16035,159.87866,159.57722,160.15271,159.42168,159.72096,159.97328,159.4626,159.77933,159.35303,159.6006,unknown
UNKNOWN_52,147.03052,140.39052,144.96399,143.44678,144.66736,143.70508,144.71042,143.60434,143.802,142.70532,143.95319,144.30212,144.02419,143.99751,143.561,unknown
UNKNOWN_53,166.70844,160.1649,164.1358,163.06743,164.5008,163.27058,164.64131,163.16167,163.14362,162.67984,163.54451,164.12923,163.45041,163.50966,163.19794,unknown
UNKNOWN_54,152.69797,146.12646,150.57895,149.16257,150.35226,149.35199,150.43874,149.25356,149.42023,148.42918,149.61226,149.93999,149.6578,149.67657,149.20497,unknown
UNKNOWN_55,166.73747,160.24432,164.13857,163.16885,164.5307,163.31021,164.64307,163.18643,163.15613,162.69595,163.64687,164.14835,163.55203,163.60547,163.22287,unknown
UNKNOWN_56,181.70586,176.7701,178.6277,178.89949,178.93068,178.60118,178.93748,178.62578,178.05232,178.35646,178.4693,178.58743,178.57216,178.1564,178.49832,unknown
UNKNOWN_57,162.25752,159.0196,158.0371,159.10721,159.43692,159.14075,158.84503,159.4089,158.68779,158.99258,159.24435,158.72276,159.04501,158.62242,158.86758,unknown
UNKNOWN_58,163.2094,159.93312,159.00992,160.01079,160.42853,160.0543,159.74786,160.36726,159.57762,159.88892,160.23904,159.61478,159.95442,159.61969,159.779,unknown
